,P_1,P_2,P_3,P_Z,P_I,P_P,Q_1,Q_2,Q_3,Q_Z,Q_I,Q_P
380,49702.17,52354.96,62563.89,0.194057099204695,0.238967654692645,0.56697524610266,17875.1116739112,14469.7089401268,19048.2633549342,2.27631834508575,-5.19822811915202,3.92190977406625
385,52370.17,49407.6,49424.37,0.189604407060916,0.235785416671096,0.574610176267988,18051.3842627242,15428.0304099284,18935.5532887617,2.31364982446579,-5.31124609672688,3.99759627226108
390,53342.17,55080.6,52972.37,0.187466461885225,0.233451916151011,0.579081621963764,17628.533212623,15906.7271952006,18439.3053173311,2.33047429769916,-5.38439944226636,4.05392514456718
395,78354.61,89624.29,63414.47,0.210629623866703,0.22516767121601,0.564202704917288,16677.5122990645,15401.2618912367,19211.702445066,2.30617588302795,-5.31022218744759,4.00404630441963
400,94552.61,114707.7,73278.47,0.223691957161338,0.230272708722894,0.546035334115768,14301.2599413381,15741.8817017719,16392.753753123,2.27870706654229,-5.30117708419202,4.02247001764971
405,80173.9,108518.84,67227.33,0.21023445461555,0.224676879227387,0.565088666157064,14456.7089937992,16403.5607984711,15893.416968268,2.24718658232668,-5.18590007856387,3.93871349623717
410,91308.63,126795,76282.39,0.228222202028936,0.219284708051108,0.552493089919956,13528.1996205801,16757.3300954122,15474.1826983039,2.21439362666015,-5.0766704037453,3.86227677708514
415,83980.93,115430.29,82613.86,0.21659465541535,0.222999404726331,0.56040593985832,12518.3048469205,16766.0480098323,14718.4814753414,2.14005426444528,-4.87174323132144,3.73168896687614
420,78205.02,108689.85,78538.82,0.21747430979594,0.217342260318042,0.56518342988602,14173.8350982188,16809.8030704606,13479.6617075047,2.08924580212827,-4.69723591261121,3.60799011048292
425,75532.35,100132.32,82162.99,0.211833001665634,0.215993087991253,0.572173910343113,15577.3874205048,15189.4942094247,13741.7973846157,2.10500486512325,-4.77103315157459,3.66602828645132
430,72219.68,90014.2,88476.99,0.211500034934883,0.221870044065356,0.566629920999762,13907.9762113159,15607.6019678762,13492.7228882172,2.07845753362121,-4.7057961654446,3.62733863182337
435,79333.12,82838.45,111680.61,0.216564831947742,0.228396331704248,0.55503883634801,14570.5327935372,14629.3515757684,14152.5983792081,2.03899358857918,-4.53922283393735,3.50022924535816
440,89167.6,108052.23,113519.5,0.235109632711734,0.230565691576154,0.534324675712112,15741.5327400569,17545.461450835,14839.5828817845,2.00275413355544,-4.38033338253133,3.37757924897587
445,86444.6,112211.03,109657.8,0.2373582728687,0.239073843770958,0.523567883360343,16975.2661484657,16689.111366136,13733.8323603836,2.00684407229945,-4.40058653569458,3.39374246339512
450,118569.87,112636.55,120078.94,0.251339186646256,0.232257593853284,0.51640321950046,15779.8826284434,15236.5900920072,14369.8439914364,2.03301719549696,-4.51687935301394,3.48386215751697
455,109565.87,120753.55,115897.04,0.249092515349785,0.223469771292299,0.527437713357917,16424.2554079104,14330.9640903348,14461.1254743717,2.05582497972039,-4.60345515575396,3.54763017603355
460,112673.87,125114.11,132914.1,0.268084628429646,0.247745172217322,0.484170199353032,17337.1251824542,13247.5580890673,15467.5510804958,2.00587047443024,-4.4299454758631,3.42407500143285
465,137606.9,146306.54,164168,0.298721452027296,0.244334772571236,0.456943775401469,17047.4134458167,14170.8070939227,16074.7048554755,1.96334031234818,-4.294935868312,3.33159555596381
470,159013.4,165269.24,158323.37,0.298376846935574,0.257056662273598,0.444566490790828,19053.473703556,15291.3467708532,16956.0029214809,1.8785200940547,-4.00403778338492,3.1255176893302
475,147873.9,176050.24,164437.37,0.303225910289533,0.264137529393754,0.432636560316712,18315.0995126093,11825.3720619775,16530.9725651991,1.81410888874328,-3.84014450350445,3.02603561476116
480,145866.4,181931.25,166847.5,0.309243820766787,0.26551859163322,0.425237587599993,16527.7994245274,13380.5988943223,16913.462004127,1.77527443872426,-3.75133977865969,2.97606533993542
485,141860.9,155228.25,177140.69,0.304668485969363,0.271121778990857,0.42420973503978,14428.3039738365,14358.4651775099,16151.7321655973,1.80170375584774,-3.84208336425523,3.04037960840748
490,160353.9,163124.26,179213.19,0.296978248707525,0.258480579313485,0.44454117197899,14021.7844458781,14760.6857329005,15960.5951858766,1.84618385044205,-3.99473457731288,3.14855072687082
495,145613.9,162001.76,166195.79,0.285958598421967,0.254500260628065,0.459541140949967,15002.8014797781,15173.3348805188,17350.9376877176,1.87726133134077,-4.07285518826981,3.19559385692903
500,147139.96,163806.36,165495.79,0.288408477074965,0.255586116307301,0.456005406617735,12580.5469207471,15426.2957623033,18146.0478841036,1.82283436686364,-3.90714819369119,3.08431382682754
505,174968.39,177805.15,198970.79,0.299519374458102,0.232988813253446,0.467491812288452,13182.131423931,14792.7248807588,17322.6177868942,1.78772234334269,-3.81151717490602,3.02379483156332
510,159459.3,153095.73,182416.99,0.294590200870245,0.233916158646264,0.471493640483491,15096.3653104202,14356.3184659486,18535.9353507019,1.75292554510795,-3.68461647536218,2.93169093025422
515,151465.48,174178.73,186704.99,0.292341553908847,0.230106945744152,0.477551500347002,16718.6915484133,15307.5333316305,19155.1941167386,1.76732901931338,-3.65498732444747,2.88765830513408
520,133551.98,182311.35,219281.49,0.301655982437194,0.211320181241641,0.487023836321167,15613.5871151295,15676.6633375592,17202.7654413522,1.85561445618451,-3.9412617064764,3.08564725029189
525,133949.48,154497.85,197881.41,0.300600637679607,0.214886797751208,0.484512564569184,15768.3798311604,16795.9623844663,17910.3376047956,1.82234630927758,-3.85676453495132,3.03441822567374
530,157744.02,198742.84,205327.41,0.311751374655416,0.213306935514321,0.474941689830265,17839.8540929645,19304.2993277927,20028.5423179381,1.81315711825352,-3.74202465291279,2.92886753465926
535,164268.02,183576.33,186542.65,0.315009656225498,0.228287318892726,0.456703024881776,16579.4325106173,19007.43756323,18734.5025770999,1.83202771865477,-3.82015744126756,2.98812972261278
540,184369.48,221207.83,197221.65,0.323484573824648,0.216606515013851,0.459908911161502,19443.6615094169,19008.533924302,17146.7741320943,1.82210887601819,-3.78968075808381,2.96757188206561
545,156049.48,175122.77,219204.09,0.310851196928128,0.21093005289112,0.478218750180752,19148.00624367,17634.7759657137,20187.5546752304,1.84409161728301,-3.84906865965472,3.00497704237172
550,154802.48,145736.01,208395.06,0.308620063486609,0.220059693518476,0.471320242994916,17379.9220484289,16259.3815343208,18269.2026213996,1.88485626424782,-4.01790455880342,3.13304829455559
555,157255.48,179745.51,216959.16,0.308504411216147,0.219700746118341,0.471794842665512,16557.543912265,16819.8813439516,17297.4271896927,1.82066451367313,-3.85709542272164,3.03643090904851
560,149550.98,151844.51,190133.29,0.293314570456791,0.229026046588303,0.477659382954906,18295.3799171686,18144.1357492047,18143.6662703177,1.81758148344579,-3.84022691346172,3.02264543001592
565,159297.98,162332.51,191804.29,0.296931499308407,0.208593222403017,0.494475278288576,17560.2352096721,17432.1452621085,20830.5721076551,1.82572770935061,-3.87953202480349,3.05380431545288
570,158774.91,159432.44,187041.29,0.300592861441873,0.203906440959172,0.495500697598955,19088.8120629376,17126.5826647133,21682.3495430192,1.81140611245861,-3.82833840551701,3.01693229305839
575,165821.1,157229.6,182205.56,0.307293601640472,0.193477666454053,0.499228731905475,19130.3060845019,20066.4581979153,22876.9132235336,1.82571515744508,-3.80814015187282,2.98242499442774
580,158387.99,155653.17,179440.37,0.301334427409106,0.185318232349365,0.513347340241529,19212.1299313955,19359.4752949491,23257.4493628586,1.81012389556923,-3.77342423782913,2.9633003422599
585,149444.67,162554.17,169772.37,0.297203041682192,0.185876011829292,0.516920946488516,16281.9421730918,16736.0728636842,20849.6904080823,1.86622684287539,-3.97582072929126,3.10959388641587
590,124971,139225.5,156379.37,0.274172614083057,0.174422510219,0.551404875697943,19470.9772088714,17454.3408347048,21351.7123368602,1.92892309846606,-4.15798103410717,3.2290579356411
595,133995,135478.5,154703.29,0.263976257760461,0.175545120776312,0.560478621463226,20504.6307966102,19110.8583568385,21897.7455375649,1.93765298604506,-4.17730240984184,3.23964942379677
600,129731,130664.5,146413.29,0.264136331662751,0.176070661523359,0.559793006813891,22414.4708948344,19113.3375507264,22818.7500620324,1.90098507222609,-4.03108787494805,3.13010280272196
605,123709,134524.5,161849.79,0.268596532672815,0.165773912272634,0.56562955505455,18131.846458312,19203.8065411385,28653.9611446383,1.91735778441483,-4.0609163833845,3.14355859896966
610,111461,146177.5,161007.79,0.259655636982067,0.161787146581969,0.578557216435964,19053.9482806373,20624.8221139576,30546.7293223629,1.90498078888315,-3.97066457912693,3.06568379024377
615,110075,141686.5,178443.79,0.261169117939624,0.143962100157434,0.594868781902942,20781.14738216,21188.8866373471,31363.3679690274,1.97648245493055,-4.17643149119022,3.19994903625965
620,107523.5,129549,150255.87,0.254995362165094,0.135135521075086,0.609869116759821,20849.8965911672,19782.6011123556,30103.2785635279,2.04361253283742,-4.41118346213411,3.36757092929668
625,111542.5,130287,148102.87,0.25590923968391,0.130645166189716,0.613445594126375,18595.7083990935,17865.7811689845,27999.9270056228,2.08370314350169,-4.56585129315501,3.48214814965331
630,123423.5,132293,154686.87,0.263343886923882,0.122179136269035,0.614476976807084,18826.7984624974,18816.339898506,22097.0646221341,2.08691815613973,-4.6156924992088,3.52877434306906
